*Data source: Baseball Reference (FanGraphs was unavailable).*

Showing 200 of 463 total rows.

| Name                         |   Age |   #days | Lev           | Tm                     |   G |   PA |   AB |   R |   H |   2B |   3B |   HR |   RBI |   BB |   IBB |   SO |   HBP |   SH |   SF |   GDP |   SB |   CS |    BA |   OBP |   SLG |   OPS |   mlbID |
|:-----------------------------|------:|--------:|:--------------|:-----------------------|----:|-----:|-----:|----:|----:|-----:|-----:|-----:|------:|-----:|------:|-----:|------:|-----:|-----:|------:|-----:|-----:|------:|------:|------:|------:|--------:|
| Shohei Ohtani                |    28 |     952 | Maj-AL        | Los Angeles            | 135 |  599 |  497 | 102 | 151 |   26 |    8 |   44 |    95 |   91 |    21 |  143 |     3 |    0 |    3 |     9 |   20 |    6 | 0.304 | 0.412 | 0.654 | 1.066 |  660271 |
| Corey Seager                 |    29 |     893 | Maj-AL        | Texas                  | 136 |  618 |  543 | 106 | 177 |   48 |    0 |   39 |   108 |   64 |    11 |  100 |     5 |    0 |    6 |     9 |    2 |    1 | 0.326 | 0.398 | 0.63  | 1.028 |  608369 |
| Yordan Alvarez               |    26 |     902 | Maj-AL        | Houston                | 125 |  545 |  453 |  89 | 140 |   26 |    2 |   37 |   112 |   73 |     7 |  106 |    14 |    0 |    5 |     7 |    0 |    0 | 0.309 | 0.417 | 0.62  | 1.037 |  670541 |
| Aaron Judge                  |    31 |     925 | Maj-AL        | New York               | 106 |  458 |  367 |  79 |  98 |   16 |    0 |   37 |    75 |   88 |     9 |  130 |     0 |    0 |    3 |     5 |    3 |    1 | 0.267 | 0.406 | 0.613 | 1.019 |  592450 |
| Davis Schneider              |    24 |     924 | Maj-AL        | Toronto                |  35 |  141 |  116 |  23 |  32 |   12 |    1 |    8 |    20 |   21 |     0 |   43 |     4 |    0 |    0 |     2 |    1 |    0 | 0.276 | 0.404 | 0.603 | 1.008 |  676914 |
| Matt Olson                   |    29 |     913 | Maj-NL        | Atlanta                | 166 |  737 |  624 | 128 | 176 |   27 |    3 |   54 |   139 |  105 |     8 |  168 |     4 |    0 |    4 |    13 |    1 |    0 | 0.282 | 0.387 | 0.595 | 0.981 |  621566 |
| Ronald Acuña Jr.      |    25 |     913 | Maj-NL        | Atlanta                | 163 |  752 |  657 | 152 | 219 |   36 |    4 |   41 |   106 |   82 |     3 |   86 |    10 |    0 |    3 |    15 |   74 |   14 | 0.333 | 0.414 | 0.588 | 1.001 |  660670 |
| Nelson Velázquez      |    24 |     925 | Maj-AL,Maj-NL | Chicago,Kansas City    |  53 |  179 |  162 |  35 |  38 |    6 |    0 |   17 |    34 |   14 |     0 |   51 |     2 |    0 |    1 |     3 |    0 |    0 | 0.235 | 0.302 | 0.586 | 0.888 |  676369 |
| Evan Carter                  |    20 |     893 | Maj-AL        | Texas                  |  40 |  147 |  122 |  24 |  37 |   13 |    1 |    6 |    18 |   22 |     1 |   43 |     2 |    0 |    1 |     1 |    6 |    0 | 0.303 | 0.415 | 0.574 | 0.989 |  694497 |
| J.D. Martinez                |    35 |     914 | Maj-NL        | Los Angeles            | 115 |  491 |  442 |  62 | 119 |   27 |    2 |   34 |   104 |   36 |     1 |  153 |     2 |    0 |    9 |    11 |    1 |    0 | 0.269 | 0.321 | 0.57  | 0.891 |  502110 |
